timestamp,open,high,low,close,volume
2025-01-10,92.1900,92.7922,91.9300,92.2500,6466272
2025-01-08,92.9700,93.0050,92.0081,92.6000,6243744
2025-01-07,92.7800,93.6500,91.8600,92.8400,6638267
2025-01-06,92.0400,94.5000,91.9400,93.1300,8768050
2025-01-03,92.4000,93.1200,91.8000,92.5800,4966947
2025-01-02,91.5500,92.6600,91.4100,92.1700,8642734
2024-12-31,90.7300,91.7700,90.5850,91.2500,4220716
2024-12-30,91.2900,91.3200,89.8400,90.5800,8404474
2024-12-27,90.9000,93.1987,90.8800,92.2500,8200370
2024-12-26,89.3700,92.0500,89.3700,91.8600,7542683
2024-12-24,87.4000,89.9200,87.1700,89.9100,5422008
2024-12-23,87.5000,87.8800,86.3000,87.4400,11203734
2024-12-20,87.8600,89.1550,87.0700,87.9700,26477494
2024-12-19,90.2400,91.5800,88.6700,88.7600,14628408
2024-12-18,91.7700,92.2500,89.6400,89.9000,10886556
2024-12-17,93.0100,93.9400,92.0500,92.0900,8536091
2024-12-16,96.9450,97.0000,93.1000,93.1200,12395854
2024-12-13,97.3350,98.0800,96.9400,97.4200,5910905
2024-12-12,98.2200,98.9700,97.4150,97.8200,6375869
2024-12-11,98.5000,99.3858,97.9800,98.4200,8007330
2024-12-10,99.1400,99.2500,97.9400,98.1600,8192465
2024-12-09,100.0700,100.5700,98.5150,99.3100,7271601
2024-12-06,98.9300,100.6200,98.4350,100.1100,6297011
2024-12-05,101.0000,101.3000,99.1900,99.2300,7194768
2024-12-04,100.8900,101.9900,100.3700,100.7000,6151143
2024-12-03,101.0900,102.1200,99.8900,101.5700,7101505
2024-12-02,102.0000,102.2100,99.8700,101.5100,6103624
2024-11-29,101.3700,102.5000,101.2700,102.4600,3419300
2024-11-27,100.7500,102.0300,100.7150,101.5100,4857843
2024-11-26,101.9900,102.0900,100.4700,100.6800,6558260
2024-11-25,102.9300,103.3200,101.7800,101.8400,8839592
2024-11-22,100.0000,102.5600,99.7700,102.5000,6563290
2024-11-21,99.5000,100.3300,98.4900,100.0600,6760622
2024-11-20,98.0000,98.7450,97.1100,98.2600,7527665
2024-11-19,99.7900,100.3000,98.2000,98.3500,9176224
2024-11-18,98.4400,100.6100,97.9300,100.4000,7044677
2024-11-15,99.1000,100.2200,97.9900,98.4200,8119864
2024-11-14,99.4300,100.0200,99.1400,99.2300,6441497
2024-11-13,97.3500,99.9400,96.2300,99.8000,8816282
2024-11-12,100.1300,100.5400,98.4172,98.8000,8438424
2024-11-11,98.0000,101.4100,97.9450,100.3100,10313340
2024-11-08,96.1100,97.6400,96.0300,97.5500,6118742
2024-11-07,96.0600,96.6900,95.7600,96.1200,6195191
2024-11-06,96.9700,98.2300,94.7802,96.0800,9708753
2024-11-05,96.8600,97.4689,96.1500,97.0900,6348324
2024-11-04,98.5900,98.8100,96.6950,97.0300,7049097
2024-11-01,97.6000,99.8000,97.3700,98.8700,8860191
2024-10-31,97.3200,99.0000,95.3500,97.7000,12011536
2024-10-30,97.3700,98.1450,96.8000,97.3200,9187206
2024-10-29,97.7400,98.0500,96.3531,97.3900,7664209
2024-10-28,97.6500,99.1400,97.5500,98.0200,6790945
2024-10-25,97.2200,97.9550,96.4300,97.3100,9665550
2024-10-24,97.6900,99.4200,96.8541,97.1500,9828604
2024-10-23,93.8700,97.7200,93.6900,97.6500,18858761
