contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA240209C00250000,NVDA,2024-02-09,250.00,call,438.15,451.27,449.70,35,452.85,35,7,39,2024-02-07,5.27672,0.99771,0.00003,-0.52626,0.00371,0.01360
NVDA240209C00260000,NVDA,2024-02-09,260.00,call,428.15,441.12,440.50,10,441.75,10,22,64,2024-02-07,4.47308,0.99922,0.00001,-0.19406,0.00140,0.01421
NVDA240209C00270000,NVDA,2024-02-09,270.00,call,416.65,431.35,429.90,36,432.80,36,50,102,2024-02-07,5.06834,0.99685,0.00004,-0.66826,0.00497,0.01465
NVDA240209C00280000,NVDA,2024-02-09,280.00,call,384.20,421.20,419.55,5,422.85,35,0,16,2024-02-07,4.49869,0.99827,0.00002,-0.36539,0.00289,0.01526
NVDA240209C00290000,NVDA,2024-02-09,290.00,call,402.80,411.20,409.70,35,412.70,1,1,11,2024-02-07,4.32567,0.99824,0.00003,-0.35963,0.00294,0.01581
NVDA240209C00300000,NVDA,2024-02-09,300.00,call,389.30,401.10,400.40,10,401.80,10,8,45,2024-02-07,3.58468,0.99957,0.00001,-0.11573,0.00080,0.01642
NVDA240209C00310000,NVDA,2024-02-09,310.00,call,365.45,391.20,390.60,10,391.80,10,0,4,2024-02-07,3.99733,0.99817,0.00003,-0.34804,0.00303,0.01690
NVDA240209C00320000,NVDA,2024-02-09,320.00,call,358.85,381.10,380.40,30,381.80,10,0,42,2024-02-07,3.24780,0.99964,0.00001,-0.10164,0.00068,0.01751
NVDA240209C00325000,NVDA,2024-02-09,325.00,call,368.00,376.02,375.25,10,376.80,10,3,31,2024-02-07,2.86958,1.00000,0.00000,-0.04745,0.00000,0.01780
NVDA240209C00330000,NVDA,2024-02-09,330.00,call,293.85,371.12,370.45,10,371.80,10,0,3,2024-02-07,3.30618,0.99932,0.00001,-0.14970,0.00123,0.01805
NVDA240209C00335000,NVDA,2024-02-09,335.00,call,347.50,366.10,365.40,10,366.80,10,0,29,2024-02-07,2.99735,0.99971,0.00001,-0.09064,0.00056,0.01834
NVDA240209C00340000,NVDA,2024-02-09,340.00,call,343.20,361.12,360.45,10,361.80,10,1,2,2024-02-07,3.15802,0.99934,0.00001,-0.14315,0.00119,0.01860
NVDA240209C00345000,NVDA,2024-02-09,345.00,call,321.15,356.23,354.60,35,357.85,1,0,9,2024-02-07,3.55740,0.99764,0.00004,-0.39057,0.00383,0.01880
NVDA240209C00350000,NVDA,2024-02-09,350.00,call,330.10,351.15,350.45,10,351.85,10,0,63,2024-02-07,3.20771,0.99884,0.00002,-0.21189,0.00201,0.01912
