Date,SMA
2025-01-03,551.1415
2025-01-02,550.7357
2024-12-31,550.3523
2024-12-30,549.9466
2024-12-27,549.5477
2024-12-26,549.1198
2024-12-24,548.6643
2024-12-23,548.1819
2024-12-20,547.7347
2024-12-19,547.3204
2024-12-18,546.9161
2024-12-17,546.4982
2024-12-16,546.0159
2024-12-13,545.5238
2024-12-12,545.0210
2024-12-11,544.5086
2024-12-10,543.9840
2024-12-09,543.4779
2024-12-06,542.9716
2024-12-05,542.4480
2024-12-04,541.8794
2024-12-03,541.3035
2024-12-02,540.7599
2024-11-29,540.2301
2024-11-27,539.6886
2024-11-26,539.1435
2024-11-25,538.6234
2024-11-22,538.1199
2024-11-21,537.6123
2024-11-20,537.1128
2024-11-19,536.6087
2024-11-18,536.0986
2024-11-15,535.6081
2024-11-14,535.1041
2024-11-13,534.5310
2024-11-12,533.9783
2024-11-11,533.4290
2024-11-08,532.8513
2024-11-07,532.2796
2024-11-06,531.7076
2024-11-05,531.1558
2024-11-04,530.6685
2024-11-01,530.2106
2024-10-31,529.7171
2024-10-30,529.2149
2024-10-29,528.6691
2024-10-28,528.1231
2024-10-25,527.5802
2024-10-24,527.0472
2024-10-23,526.5000
2024-10-22,525.9626
2024-10-21,525.3657
2024-10-18,524.7641
2024-10-17,524.1651
2024-10-16,523.5963
2024-10-15,523.0409
2024-10-14,522.5049
2024-10-11,521.9454
2024-10-10,521.4053
2024-10-09,520.8725
2024-10-08,520.3299
2024-10-07,519.7852
2024-10-04,519.2998
2024-10-03,518.7744
2024-10-02,518.2616
2024-10-01,517.7475
2024-09-30,517.2272
2024-09-27,516.6498
2024-09-26,516.0734
2024-09-25,515.4840
2024-09-24,514.8963
2024-09-23,514.2852
2024-09-20,513.6913
2024-09-19,513.1049
2024-09-18,512.5254
2024-09-17,511.9803
2024-09-16,511.4181
2024-09-13,510.8586
2024-09-12,510.3010
2024-09-11,509.7620
2024-09-10,509.2447
2024-09-09,508.7469
2024-09-06,508.2657
2024-09-05,507.7975
2024-09-04,507.2806
2024-09-03,506.7544
2024-08-30,506.2179
2024-08-29,505.5817
2024-08-28,504.9741
2024-08-27,504.3335
2024-08-26,503.6934
2024-08-23,503.0556
2024-08-22,502.4050
2024-08-21,501.7789
2024-08-20,501.1116
2024-08-19,500.4140
2024-08-16,499.6899
2024-08-15,498.9794
2024-08-14,498.2508
2024-08-13,497.5778
2024-08-12,496.9379
2024-08-09,496.3714
2024-08-08,495.7907
2024-08-07,495.2252
2024-08-06,494.7451
2024-08-05,494.2662
2024-08-02,493.8396
2024-08-01,493.3359
2024-07-31,492.7597
2024-07-30,492.1554
2024-07-29,491.6080
2024-07-26,491.0380
2024-07-25,490.4586
2024-07-24,489.8957
2024-07-23,489.2939
2024-07-22,488.6306
2024-07-19,487.9478
2024-07-18,487.3213
2024-07-17,486.6774
2024-07-16,486.0174
2024-07-15,485.3059
2024-07-12,484.6100
2024-07-11,483.9531
2024-07-10,483.3047
2024-07-09,482.6370
2024-07-08,482.0323
2024-07-05,481.4502
2024-07-03,480.8759
2024-07-02,480.3161
2024-07-01,479.7950
2024-06-28,479.2732
2024-06-27,478.7544
2024-06-26,478.2371
2024-06-25,477.7096
2024-06-24,477.1822
2024-06-21,476.6719
2024-06-20,476.1677
2024-06-18,475.6693
2024-06-17,475.1595
2024-06-14,474.6598
2024-06-13,474.1724
2024-06-12,473.6553
2024-06-11,473.1299
2024-06-10,472.6113
2024-06-07,472.1291
2024-06-06,471.6312
2024-06-05,471.1360
2024-06-04,470.6267
2024-06-03,470.1475
2024-05-31,469.6877
2024-05-30,469.2459
2024-05-29,468.8532
2024-05-28,468.4313
2024-05-24,467.9922
2024-05-23,467.5542
2024-05-22,467.1481
2024-05-21,466.7324
2024-05-20,466.2901
2024-05-17,465.8641
2024-05-16,465.4475
2024-05-15,465.0657
2024-05-14,464.6850
2024-05-13,464.3321
2024-05-10,463.9693
2024-05-09,463.6217
2024-05-08,463.2771
2024-05-07,462.9411
2024-05-06,462.5955
2024-05-03,462.2527
2024-05-02,461.9508
2024-05-01,461.6750
2024-04-30,461.4060
2024-04-29,461.1212
2024-04-26,460.7979
2024-04-25,460.4660
2024-04-24,460.1404
2024-04-23,459.7915
2024-04-22,459.4360
2024-04-19,459.1154
2024-04-18,458.8342
2024-04-17,458.5348
2024-04-16,458.2277
2024-04-15,457.8806
2024-04-12,457.5204
2024-04-11,457.1275
2024-04-10,456.6760
2024-04-09,456.2524
2024-04-08,455.8193
2024-04-05,455.3814
2024-04-04,454.9559
2024-04-03,454.5681
2024-04-02,454.1562
2024-04-01,453.7208
2024-03-28,453.2663
2024-03-27,452.7934
2024-03-26,452.3009
2024-03-25,451.8263
2024-03-22,451.3343
2024-03-21,450.8424
2024-03-20,450.3411
2024-03-19,449.8523
2024-03-18,449.3574
2024-03-15,448.8572
2024-03-14,448.3833
2024-03-13,447.8913
2024-03-12,447.3680
2024-03-11,446.8234
2024-03-08,446.3205
2024-03-07,445.8385
2024-03-06,445.3403
2024-03-05,444.8701
2024-03-04,444.3930
2024-03-01,443.8664
2024-02-29,443.3505
2024-02-28,442.8513
2024-02-27,442.3637
2024-02-26,441.8762
2024-02-23,441.3841
2024-02-22,440.8916
2024-02-21,440.4003
2024-02-20,439.9231
2024-02-16,439.4623
2024-02-15,439.0017
2024-02-14,438.5516
2024-02-13,438.1205
2024-02-12,437.6943
2024-02-09,437.1948
2024-02-08,436.7026
2024-02-07,436.2566
2024-02-06,435.8096
2024-02-05,435.3814
2024-02-02,434.9713
2024-02-01,434.5526
2024-01-31,434.1580
2024-01-30,433.7874
2024-01-29,433.3822
2024-01-26,432.9486
2024-01-25,432.5423
2024-01-24,432.1324
2024-01-23,431.7334
2024-01-22,431.3293
2024-01-19,430.9374
2024-01-18,430.5616
2024-01-17,430.2076
2024-01-16,429.8465
2024-01-12,429.4609
2024-01-11,429.0387
2024-01-10,428.6223
2024-01-09,428.2014
2024-01-08,427.7810
2024-01-05,427.3520
2024-01-04,426.9891
2024-01-03,426.6041
2024-01-02,426.1934
2023-12-29,425.7861
2023-12-28,425.3324
2023-12-27,424.8838
2023-12-26,424.4051
2023-12-22,423.9334
2023-12-21,423.4990
2023-12-20,423.1051
2023-12-19,422.7299
2023-12-18,422.3524
2023-12-15,421.9877
2023-12-14,421.6050
2023-12-13,421.2036
2023-12-12,420.8170
2023-12-11,420.4690
2023-12-08,420.1248
2023-12-07,419.8102
2023-12-06,419.4951
2023-12-05,419.1996
2023-12-04,418.9348
2023-12-01,418.6746
2023-11-30,418.4302
2023-11-29,418.1925
2023-11-28,417.9646
2023-11-27,417.7119
2023-11-24,417.4567
2023-11-22,417.2148
2023-11-21,416.9963
2023-11-20,416.7604
2023-11-17,416.5319
2023-11-16,416.3420
2023-11-15,416.1257
2023-11-14,415.8912
2023-11-13,415.6327
2023-11-10,415.4409
2023-11-09,415.2425
2023-11-08,415.0561
2023-11-07,414.8521
2023-11-06,414.6518
2023-11-03,414.4345
2023-11-02,414.1869
2023-11-01,413.9725
2023-10-31,413.8285
2023-10-30,413.7099
2023-10-27,413.5967
2023-10-26,413.5006
2023-10-25,413.3713
2023-10-24,413.2042
2023-10-23,413.0083
2023-10-20,412.7856
2023-10-19,412.5807
2023-10-18,412.3357
2023-10-17,412.0799
2023-10-16,411.8005
2023-10-13,411.4880
2023-10-12,411.2209
2023-10-11,410.9506
2023-10-10,410.6564
2023-10-09,410.3979
2023-10-06,410.1227
2023-10-05,409.8585
2023-10-04,409.6349
2023-10-03,409.4327
2023-10-02,409.2929
2023-09-29,409.1373
2023-09-28,408.9664
2023-09-27,408.7628
2023-09-26,408.5858
2023-09-25,408.3946
2023-09-22,408.1755
2023-09-21,407.9932
2023-09-20,407.8415
2023-09-19,407.6564
2023-09-18,407.4528
2023-09-15,407.1844
2023-09-14,406.9206
2023-09-13,406.6614
2023-09-12,406.4214
2023-09-11,406.1718
2023-09-08,405.8845
2023-09-07,405.6185
2023-09-06,405.3471
2023-09-05,405.0748
2023-09-01,404.8025
2023-08-31,404.5043
2023-08-30,404.2266
2023-08-29,403.9272
2023-08-28,403.5374
2023-08-25,403.2170
2023-08-24,402.9003
2023-08-23,402.5814
2023-08-22,402.2064
2023-08-21,401.8741
2023-08-18,401.5827
2023-08-17,401.3133
2023-08-16,401.0586
2023-08-15,400.7437
2023-08-14,400.4228
2023-08-11,400.0903
2023-08-10,399.7406
2023-08-09,399.3674
2023-08-08,398.9521
2023-08-07,398.5370
2023-08-04,398.1251
2023-08-03,397.7114
2023-08-02,397.2432
2023-08-01,396.8092
2023-07-31,396.2984
2023-07-28,395.7870
2023-07-27,395.2908
2023-07-26,394.8298
2023-07-25,394.4043
2023-07-24,393.9980
2023-07-21,393.6021
2023-07-20,393.1611
2023-07-19,392.6744
2023-07-18,392.2001
2023-07-17,391.7682
2023-07-14,391.3181
2023-07-13,390.8801
2023-07-12,390.4584
2023-07-11,390.0844
2023-07-10,389.7431
2023-07-07,389.4480
2023-07-06,389.1800
2023-07-05,388.8920
2023-07-03,388.6013
2023-06-30,388.3290
2023-06-29,388.0519
2023-06-28,387.8863
2023-06-27,387.7080
2023-06-26,387.5009
2023-06-23,387.3044
2023-06-22,387.0654
2023-06-21,386.8173
2023-06-20,386.5971
2023-06-16,386.3600
2023-06-15,386.1262
2023-06-14,385.9065
2023-06-13,385.7261
2023-06-12,385.6167
2023-06-09,385.4931
2023-06-08,385.3822
2023-06-07,385.2799
2023-06-06,385.2325
2023-06-05,385.2056
2023-06-02,385.1773
2023-06-01,385.1597
2023-05-31,385.1678
2023-05-30,385.1868
2023-05-26,385.1601
2023-05-25,385.1343
2023-05-24,385.0930
2023-05-23,385.0770
2023-05-22,385.0486
2023-05-19,385.0007
2023-05-18,384.9550
2023-05-17,384.8755
2023-05-16,384.8286
2023-05-15,384.8118
2023-05-12,384.7531
2023-05-11,384.6770
2023-05-10,384.5494
2023-05-09,384.4409
2023-05-08,384.3394
2023-05-05,384.2468
2023-05-04,384.1355
2023-05-03,384.0487
