Date,SMA
2025-01-03,596.6924
2025-01-02,597.3772
2024-12-31,598.2406
2024-12-30,599.0181
2024-12-27,599.6347
2024-12-26,599.7265
2024-12-24,599.5925
2024-12-23,599.3050
2024-12-20,599.2473
2024-12-19,599.2749
2024-12-18,599.4942
2024-12-17,599.6945
2024-12-16,598.8902
2024-12-13,597.8417
2024-12-12,597.3005
2024-12-11,596.9447
2024-12-10,596.4184
2024-12-09,596.2171
2024-12-06,595.8937
2024-12-05,595.2857
2024-12-04,594.5073
2024-12-03,592.9644
2024-12-02,591.2651
2024-11-29,589.6410
2024-11-27,587.9511
2024-11-26,587.0132
2024-11-25,586.0723
2024-11-22,585.2401
2024-11-21,584.4193
2024-11-20,583.7002
2024-11-19,583.0768
2024-11-18,582.7290
2024-11-15,582.5037
2024-11-14,582.4459
2024-11-13,581.8977
2024-11-12,581.1557
2024-11-11,580.3025
2024-11-08,579.5829
2024-11-07,578.6555
2024-11-06,577.6847
2024-11-05,576.9920
2024-11-04,576.8161
2024-11-01,576.7159
2024-10-31,576.8126
2024-10-30,576.7718
2024-10-29,576.2161
2024-10-28,575.5608
2024-10-25,575.2085
2024-10-24,574.8312
2024-10-23,574.4854
2024-10-22,574.0892
2024-10-21,573.4902
2024-10-18,572.7945
2024-10-17,571.9802
2024-10-16,571.3264
2024-10-15,570.1992
2024-10-14,569.2806
2024-10-11,568.1242
2024-10-10,567.1629
2024-10-09,566.2284
2024-10-08,565.0115
2024-10-07,563.7128
2024-10-04,562.5635
2024-10-03,560.8554
2024-10-02,559.8641
2024-10-01,558.8874
2024-09-30,557.9789
2024-09-27,557.3906
2024-09-26,556.6515
2024-09-25,555.8687
2024-09-24,555.3604
2024-09-23,554.7510
2024-09-20,554.2895
2024-09-19,553.6051
2024-09-18,553.0904
2024-09-17,552.9562
2024-09-16,552.7843
2024-09-13,552.3606
2024-09-12,551.9164
2024-09-11,551.1543
2024-09-10,550.5392
2024-09-09,549.7682
2024-09-06,549.1014
2024-09-05,548.6190
2024-09-04,547.0814
2024-09-03,545.6506
2024-08-30,543.9266
2024-08-29,542.3974
2024-08-28,541.6353
2024-08-27,541.2632
2024-08-26,540.2914
2024-08-23,539.4950
2024-08-22,538.6161
2024-08-21,537.7313
2024-08-20,536.7680
2024-08-19,536.5235
2024-08-16,536.2771
2024-08-15,536.0128
2024-08-14,535.9924
2024-08-13,536.6477
2024-08-12,537.7815
2024-08-09,539.1855
2024-08-08,540.5269
2024-08-07,541.8102
2024-08-06,543.9296
2024-08-05,545.6024
2024-08-02,547.4853
2024-08-01,548.5654
2024-07-31,548.9852
2024-07-30,548.8958
2024-07-29,549.0617
2024-07-26,549.0349
2024-07-25,549.1308
2024-07-24,549.4835
2024-07-23,549.6623
2024-07-22,549.1139
2024-07-19,548.6101
2024-07-18,548.4237
2024-07-17,548.1288
2024-07-16,547.5524
2024-07-15,546.3686
2024-07-12,545.3339
2024-07-11,544.3217
2024-07-10,543.2655
2024-07-09,541.9050
2024-07-08,540.7360
2024-07-05,539.6260
2024-07-03,538.5484
2024-07-02,537.3177
2024-07-01,536.1795
2024-06-28,535.2023
2024-06-27,534.0451
2024-06-26,532.9539
2024-06-25,532.0891
2024-06-24,531.2398
2024-06-21,530.3220
2024-06-20,529.5080
2024-06-18,528.7334
2024-06-17,527.8208
2024-06-14,526.9467
2024-06-13,526.2489
2024-06-12,525.6215
2024-06-11,524.7271
2024-06-10,523.9328
2024-06-07,523.1989
2024-06-06,522.5135
2024-06-05,521.6484
2024-06-04,520.7802
2024-06-03,520.1949
2024-05-31,519.3773
2024-05-30,518.2710
2024-05-29,517.1686
2024-05-28,515.9742
2024-05-24,514.9961
2024-05-23,513.9472
2024-05-22,512.8345
2024-05-21,511.6252
2024-05-20,510.3520
2024-05-17,508.8495
2024-05-16,507.1514
2024-05-15,505.7068
2024-05-14,504.2593
2024-05-13,503.2803
2024-05-10,502.4651
2024-05-09,501.9704
2024-05-08,501.8630
2024-05-07,501.7109
2024-05-06,501.8189
2024-05-03,501.9254
2024-05-02,502.2789
2024-05-01,502.6771
2024-04-30,503.6210
2024-04-29,504.4559
2024-04-26,505.0551
2024-04-25,505.7885
2024-04-24,506.7631
2024-04-23,507.4267
2024-04-22,508.1260
2024-04-19,509.1902
2024-04-18,510.5293
2024-04-17,511.5672
2024-04-16,512.3180
2024-04-15,512.7800
2024-04-12,513.0464
2024-04-11,513.1700
2024-04-10,512.9897
2024-04-09,513.0417
2024-04-08,512.5645
2024-04-05,512.1389
2024-04-04,511.8801
2024-04-03,511.6369
2024-04-02,510.9530
2024-04-01,510.5500
2024-03-28,510.0097
2024-03-27,509.1889
2024-03-26,508.2733
2024-03-25,507.6067
2024-03-22,506.8462
2024-03-21,506.1061
2024-03-20,505.2998
2024-03-19,504.0706
2024-03-18,503.0555
2024-03-15,502.3172
2024-03-14,501.8524
2024-03-13,501.0438
2024-03-12,499.9631
2024-03-11,499.1831
2024-03-08,498.6855
2024-03-07,498.0240
2024-03-06,497.1991
2024-03-05,496.4205
2024-03-04,495.6983
2024-03-01,494.8121
2024-02-29,493.6446
2024-02-28,492.4006
2024-02-27,491.6418
2024-02-26,490.8687
2024-02-23,489.9514
2024-02-22,488.9730
2024-02-21,487.8815
2024-02-20,487.2718
2024-02-16,486.6147
2024-02-15,485.7715
2024-02-14,484.5117
2024-02-13,483.2143
2024-02-12,482.2689
2024-02-09,481.0693
2024-02-08,479.8425
2024-02-07,478.7683
2024-02-06,477.5726
2024-02-05,476.6159
2024-02-02,475.3999
2024-02-01,474.0636
2024-01-31,473.0560
2024-01-30,472.5510
2024-01-29,471.7818
2024-01-26,471.0620
2024-01-25,470.5239
2024-01-24,469.9128
2024-01-23,469.3332
2024-01-22,468.7329
2024-01-19,467.9830
2024-01-18,467.6083
2024-01-17,467.3852
2024-01-16,467.2390
2024-01-12,467.0006
2024-01-11,466.6016
2024-01-10,465.9042
2024-01-09,465.0926
2024-01-08,464.3254
2024-01-05,463.4258
2024-01-04,462.6853
2024-01-03,462.0669
2024-01-02,461.3783
2023-12-29,460.6177
2023-12-28,459.5931
2023-12-27,458.4122
2023-12-26,457.2561
2023-12-22,456.1202
2023-12-21,455.1234
2023-12-20,454.1597
2023-12-19,453.3292
2023-12-18,452.2225
2023-12-15,451.0869
2023-12-14,450.0541
2023-12-13,448.9562
2023-12-12,447.8858
2023-12-11,446.7102
2023-12-08,445.6590
2023-12-07,444.3629
2023-12-06,443.3314
